client_id,first_name,last_name,city_residence,age,marital_status,education,phone_num,job_id
47,Taylor,Evans,Chico,53,Single,Less than high school,703-304-6840,J47
48,Olivia,Anderson,Paterson,33,Divorced,Associate degree,585-981-9959,J48
49,Abigail,Young,Mcville,58,Divorced,Less than high school,920-092-5557,J49
50,Matthew,Harris,Cincinnati,63,Married,"Some college, no degree",989-733-0138,J50
51,Alexander,King,Tyro,20,Married,Associate degree,207-687-5437,J51
52,Zachary,Rodriguez,Greenbush,24,Divorced,High school diploma or equivalent,269-248-6288,J52
53,Theodore,Walker,Hickory,20,Divorced,High school diploma or equivalent,812-119-2494,J53
54,Abigail,Watson,Ochelata,68,Divorced,High school diploma or equivalent,805-450-9192,J54
55,Alexandra,Bailey,Lowell,26,Married,High school diploma or equivalent,302-674-9639,J55
56,Timothy,Torres,Oakland,33,Married,Master’s degree,917-265-8046,J56
57,Richard,Adams,Dammeron Valley,50,Separated,"Some college, no degree",630-808-3695,J57
58,Chelsea,Perez,Wagram,75,Divorced,High school diploma or equivalent,985-631-4071,J58
59,Charles,Cox,Metz,21,Married,Master’s degree,205-387-5850,J59
60,Kaitlyn,Murphy,East Longmeadow,49,Single,High school diploma or equivalent,806-141-3481,J60
61,Ava,Powell,Enfield Center,45,Married,High school diploma or equivalent,614-098-0324,J61
62,Joseph,Lopez,Danevang,34,Married,Bachelors degree,989-703-1092,J62
63,Erin,Thomas,Anaheim,38,Married,Associate degree,228-987-9520,J63
64,Owen,Rivera,Walnut Creek,50,Married,"Some college, no degree",816-108-7390,J64
65,Chelsea,Roberts,Valley Forge,77,Divorced,Doctoral degree,410-341-6875,J65
66,Alexander,White,Mexico,32,Single,"Some college, no degree",712-782-1773,J66
67,Amber,Wilson,San Diego,73,Married,Doctoral degree,239-961-6225,J67
68,Melissa,Kelly,Matamoras,50,Divorced,Associate degree,931-259-4429,J68
69,Adam,Richardson,Redig,68,Married,Doctoral degree,415-731-0474,J69
70,Andrew,Rodriguez,Nahma,66,Separated,High school diploma or equivalent,516-111-1267,J70
71,Brianna,Cox,Dousman,63,Married,High school diploma or equivalent,646-785-7513,J71
72,Isaac,Wood,Ashkum,37,Married,Associate degree,660-513-8293,J72
73,Kimberly,Williams,Columbus Junction,68,Married,Master’s degree,935-332-4144,J73
74,Emma,Morgan,Smithwick,33,Married,Less than high school,913-245-3941,J74
75,Kyle,Long,White Hall,70,Married,Master’s degree,859-056-2630,J75
76,Brianna,Gray,Leesburg,75,Single,Associate degree,515-003-2493,J76
77,Timothy,Sanchez,Spring Brook,50,Divorced,Master’s degree,626-632-6226,J77
78,Ethan,Perez,Aripeka,59,Married,Doctoral degree,215-683-2613,J78
79,Jeremy,Washington,Saint Louis,40,Married,Bachelors degree,720-395-2017,J79
80,Mary,Nelson,Lexington,34,Single,High school diploma or equivalent,315-937-5009,J80
81,Oliver,Nelson,Dexter,30,Single,High school diploma or equivalent,425-986-8759,J81
82,Dylan,Gray,Schriever,69,Divorced,Associate degree,220-204-7597,J82
83,Andrew,Cooper,Mayslick,18,Divorced,Less than high school,650-049-6209,J83
84,Mark,Bailey,Scottsdale,37,Married,Associate degree,937-121-0383,J84
85,Anna,Morris,Kansas City,19,Divorced,"Some college, no degree",743-534-3202,J85
86,Eleanor,Cox,Plant City,62,Divorced,Less than high school,835-644-3186,J86
87,Christina,Anderson,Ethel,39,Married,Doctoral degree,713-704-2554,J87
88,Michael,Johnson,West Newbury,41,Single,High school diploma or equivalent,252-457-5798,J88
89,Nathan,Edwards,Winona Lake,30,Divorced,Master’s degree,818-786-7015,J89
90,Tiffany,Campbell,Bradford,19,Married,"Some college, no degree",212-894-6113,J90
91,Anthony,Alexander,Rudyard,24,Single,Doctoral degree,464-987-6756,J91
92,Dylan,Nelson,Farmingdale,40,Single,Doctoral degree,747-073-0626,J92
93,Courtney,Patterson,Philadelphia,59,Married,Bachelors degree,515-522-8106,J93
94,Sofia,Powell,Saint Francis,32,Married,Less than high school,847-185-0956,J94
95,Andrew,Patterson,Cleveland,51,Single,Less than high school,629-452-6536,J95
96,Taylor,Price,Lafayette,76,Married,"Some college, no degree",517-623-8124,J96
97,Zachary,Davis,Huntington,47,Married,Bachelors degree,218-627-9466,J97
98,Nicholas,Scott,Craig,44,Married,Doctoral degree,859-589-4952,J98
99,Sarah,White,South Kingstown,55,Single,"Some college, no degree",310-997-9224,J99
100,Aubrey,Bailey,Lyman,34,Divorced,"Some college, no degree",434-368-3348,J100
101,Eric,Evans,Elkader,27,Married,Doctoral degree,862-764-7250,J101
102,Justin,Harris,Gales Creek,71,Divorced,Master’s degree,850-281-3292,J102
103,Oliver,James,Twig,28,Married,Bachelors degree,916-922-0738,J103
104,Alyssa,Brooks,Defiance,55,Divorced,Associate degree,325-043-1765,J104
105,Kelsey,Hernandez,Fort Lauderdale,20,Married,Master’s degree,510-828-8515,J105
106,Sofia,Barnes,Evansville,24,Divorced,Associate degree,318-691-6313,J106
107,Owen,Price,Conway,24,Married,Associate degree,831-729-2008,J107
108,Daniel,Morris,Apache Junction,35,Married,Less than high school,228-800-8448,J108
109,Christopher,Scott,Warren,68,Married,Bachelors degree,608-295-4962,J109
110,Sophia,Ross,Rockbridge,43,Divorced,Less than high school,657-169-9258,J110
111,Henry,White,Parsonsburg,42,Separated,Doctoral degree,309-026-1585,J111
112,Alexis,Garcia,Mayersville,69,Married,Bachelors degree,864-703-5989,J112
113,Jose,Hill,Salt Lake City,70,Single,Associate degree,484-605-5968,J113
114,Audrey,Carter,Columbus,43,Married,Bachelors degree,307-875-5730,J114
115,Joshua,Nelson,Martinsdale,47,Married,Associate degree,857-599-4344,J115
116,Ryan,Moore,Bartlett,51,Married,"Some college, no degree",847-075-4763,J116
117,Gabriel,Stewart,Orange,44,Divorced,Master’s degree,417-431-8905,J117
118,Charlotte,Clark,Carroll,32,Single,Doctoral degree,346-999-6173,J118
119,Rachel,Ward,Leesville,35,Single,Associate degree,216-456-4763,J119
120,Courtney,Perez,Asheville,75,Divorced,Bachelors degree,731-925-5456,J120
121,Samuel,Adams,Las Cruces,62,Married,High school diploma or equivalent,606-727-1483,J121
122,Olivia,Roberts,Kenton,22,Divorced,Doctoral degree,207-493-0840,J122
123,Amelia,Hayes,Stilwell,71,Married,Bachelors degree,570-398-1119,J123
124,Christina,Lewis,Matfield Green,57,Divorced,Doctoral degree,512-871-3689,J124
125,Anna,Hall,Voltaire,42,Married,Bachelors degree,901-943-3175,J125
126,John,Smith,Buffalo,51,Married,Master’s degree,947-181-5665,J126
127,Joseph,Davis,Tenstrike,21,Divorced,Associate degree,305-969-8803,J127
128,Kaitlyn,Patterson,Big Island,74,Married,Doctoral degree,315-236-4127,J128
129,Sara,Richardson,Sheridan,61,Married,Less than high school,503-330-0097,J129
130,Tiffany,Wright,Hollenberg,33,Married,Doctoral degree,320-837-5319,J130
131,Timothy,Carter,Cokercreek,48,Divorced,Less than high school,708-054-0480,J131
132,Mary,Bailey,Chester,77,Separated,Associate degree,681-256-5186,J132
133,Tyler,Bell,Mccutcheon Field,68,Divorced,Associate degree,563-943-8070,J133
134,Eric,Morgan,Bens Run,41,Married,Bachelors degree,909-959-6353,J134
135,John,Cox,Ashcamp,57,Divorced,Less than high school,872-393-7400,J135
136,Tiffany,Cox,Holmes Mill,32,Married,Associate degree,262-917-4839,J136
137,Amanda,Morgan,Cedaredge,47,Separated,High school diploma or equivalent,513-031-0769,J137
138,Alexander,Thompson,Worcester,27,Widowed,"Some college, no degree",805-164-0891,J138
139,Christopher,Perez,Sarepta,65,Single,Less than high school,361-688-6442,J139
140,Chelsea,Perry,Duckwater,63,Married,Doctoral degree,912-797-2629,J140
141,Isaac,Coleman,Lewistown,37,Divorced,Master’s degree,509-001-4083,J141
142,Emma,Anderson,Hagaman,18,Married,Less than high school,814-846-4387,J142
143,Jose,Lewis,Rodman,67,Married,High school diploma or equivalent,406-196-8215,J143
144,Adam,Cook,Loudon,34,Divorced,Bachelors degree,313-536-4336,J144
145,Layla,Miller,Baltimore,54,Widowed,High school diploma or equivalent,606-977-4316,J145
146,Amanda,Peterson,Crane Lake,19,Single,"Some college, no degree",831-391-1669,J146
147,Alyssa,Clark,Mobile,51,Divorced,High school diploma or equivalent,978-526-6120,J147
148,Amelia,Hill,Cowden,38,Separated,Master’s degree,620-772-2083,J148
149,Emily,Sanders,Springfield,20,Divorced,Doctoral degree,315-233-4137,J149
150,Victoria,Hernandez,Quarryville,61,Divorced,Less than high school,936-330-1617,J150
151,Julian,Price,Williamstown,40,Divorced,Doctoral degree,769-397-1988,J151
152,Jason,Griffin,Yankeetown,52,Divorced,Master’s degree,320-085-2068,J152
153,Sofia,Murphy,Rawlings,75,Divorced,"Some college, no degree",904-877-4735,J153
154,Chelsea,Hall,Norvelt,29,Married,Bachelors degree,720-579-5108,J154
155,Kyle,Jenkins,Pine Ridge,20,Married,Less than high school,314-530-3458,J155
156,Megan,Russell,Waves,50,Married,Bachelors degree,585-325-4367,J156
157,Anna,Hernandez,Girvin,39,Divorced,Doctoral degree,539-677-2493,J157
158,Sophia,Green,Lakemore,56,Divorced,Associate degree,253-323-1566,J158
159,Emily,Howard,Hallock,50,Separated,Associate degree,430-592-6592,J159
160,Tyler,Roberts,Scottsdale,48,Single,"Some college, no degree",989-059-3658,J160
161,Kimberly,Diaz,Winterville,61,Separated,High school diploma or equivalent,815-215-9684,J161
162,Nicole,Thompson,Wortham,34,Married,Doctoral degree,510-737-6641,J162
163,Katherine,Henderson,Vienna,61,Single,High school diploma or equivalent,641-191-7846,J163
164,Stephen,Allen,Cape Charles,72,Married,High school diploma or equivalent,912-614-6624,J164
165,James,Jenkins,Garland,51,Divorced,Less than high school,203-182-1033,J165
166,Jose,Ross,Colorado Springs,40,Divorced,Bachelors degree,651-513-6375,J166
167,Joshua,Ward,Vinton,40,Single,Doctoral degree,801-707-6041,J167
168,Sebastian,Cook,Fingal,30,Married,"Some college, no degree",269-370-9508,J168
169,Nathan,Sanders,Atlanta,42,Married,High school diploma or equivalent,669-551-0516,J169
170,William,Anderson,Ossian,67,Single,Master’s degree,442-359-7079,J170
171,Samuel,Evans,Fort Pierce,68,Married,Less than high school,430-059-8772,J171
172,Ryan,Henderson,Spade,21,Married,"Some college, no degree",210-915-6866,J172
173,Tyler,Evans,Fenton,39,Married,High school diploma or equivalent,331-344-1684,J173
174,Kayla,Rodriguez,Cragsmoor,27,Divorced,Associate degree,220-784-9918,J174
175,Brianna,Campbell,Goldsboro,54,Divorced,"Some college, no degree",909-281-6348,J175
176,Sara,Hernandez,New Holstein,72,Married,Master’s degree,303-212-8329,J176
177,Zachary,Jackson,Long Beach,32,Single,Bachelors degree,380-108-6540,J177
178,Alexander,Rogers,Castle Rock,21,Divorced,"Some college, no degree",207-005-0351,J178
179,Kevin,Wilson,Anaheim,60,Divorced,"Some college, no degree",863-051-6329,J179
180,Jonathan,Morgan,Pikeville,58,Divorced,Less than high school,941-699-0587,J180
181,Olivia,Cox,Madison,55,Separated,Associate degree,720-625-5424,J181
182,Samantha,James,Hammondsport,33,Married,Doctoral degree,754-268-2992,J182
183,Alexander,Watson,Buffalo,56,Married,Less than high school,808-767-5011,J183
184,Abigail,White,Lindseyville,45,Married,"Some college, no degree",540-699-5378,J184
185,Michael,Simmons,Spencer,29,Divorced,High school diploma or equivalent,952-661-7145,J185
186,Kayla,Stewart,Rochester,55,Single,Doctoral degree,978-967-8389,J186
187,Brittany,Flores,Easton,70,Widowed,Doctoral degree,443-520-5819,J187
188,Adam,Jackson,McBee,62,Single,"Some college, no degree",818-038-6333,J188
189,Mary,Taylor,Neodesha,52,Married,"Some college, no degree",914-007-5343,J189
190,Robert,Bryant,Plano,37,Married,High school diploma or equivalent,915-388-4624,J190
191,Emily,Bell,Moorhead,23,Single,Master’s degree,743-015-8785,J191
192,Sarah,Thompson,Talco,36,Married,Master’s degree,727-172-7922,J192
193,Ryan,Cox,Grand Forks,74,Divorced,Associate degree,307-625-0476,J193
194,Zachary,Davis,Rock Springs,75,Single,Associate degree,412-125-0065,J194
195,Mark,Rogers,Elwood,20,Widowed,"Some college, no degree",225-137-3929,J195
196,Charles,Young,Morrilton,63,Single,High school diploma or equivalent,320-898-7905,J196
197,Haley,Peterson,Gile,60,Married,Bachelors degree,267-255-9723,J197
198,Brian,Price,Homer,32,Married,Associate degree,612-981-7559,J198
199,Abigail,Miller,El Paso,77,Divorced,Doctoral degree,360-820-1773,J199
200,Owen,Howard,Almo,44,Married,Master’s degree,601-448-1970,J200
201,Aaron,Peterson,Henderson,32,Divorced,"Some college, no degree",912-453-6610,J201
202,Stephanie,Martinez,Pine Lake,40,Married,High school diploma or equivalent,773-233-2554,J202
203,Kelsey,Williams,Avilla,67,Single,"Some college, no degree",219-131-2409,J203
204,Brandon,Lewis,Lyons,48,Single,"Some college, no degree",609-994-2449,J204
205,Danielle,Diaz,Pleasantville,39,Married,Master’s degree,619-926-3250,J205
206,James,Lewis,Vicksburg,45,Divorced,Associate degree,660-931-5299,J206
207,Jeremy,Smith,Abbeville,63,Divorced,Less than high school,765-962-1535,J207
208,Eleanor,Ross,San Diego,43,Separated,Bachelors degree,917-055-4114,J208
209,Jose,Hall,Jasper,50,Divorced,Master’s degree,813-004-9108,J209
210,Kyle,Howard,Harrold,53,Married,Associate degree,404-824-5805,J210
211,Joseph,Adams,Mcallen,24,Married,Less than high school,715-068-5804,J211
212,Robert,Gonzales,Chadwicks,55,Divorced,Associate degree,717-138-1057,J212
213,Eleanor,James,Bakersfield,33,Married,Bachelors degree,332-501-4259,J213
214,Ethan,White,New York,61,Divorced,Doctoral degree,707-983-4281,J214
215,Emily,Allen,Ogden,54,Divorced,Associate degree,530-910-4677,J215
216,Rebecca,Cox,Eyota,44,Single,Associate degree,325-138-6243,J216
217,Brian,Foster,Athens,56,Separated,High school diploma or equivalent,352-323-6641,J217
218,Victoria,Anderson,Gibson,65,Married,Associate degree,330-096-0405,J218
219,Steven,Price,Sharon,61,Married,"Some college, no degree",679-404-3031,J219
220,Amelia,Cox,Smithville,72,Married,Bachelors degree,484-396-2436,J220
221,Jasmine,Hughes,Needham,25,Divorced,Master’s degree,206-980-2699,J221
222,Joshua,Young,Polacca,37,Married,Associate degree,909-150-8868,J222
223,Andrew,Jones,Homestead,35,Separated,Associate degree,901-927-6356,J223
224,Justin,Howard,Hebron,32,Married,Doctoral degree,857-115-7562,J224
225,Robert,Flores,Indianapolis,40,Single,Less than high school,618-111-3756,J225
226,Thomas,Perez,Bangor,42,Divorced,Associate degree,978-102-1577,J226
227,Amber,Simmons,Deweese,34,Single,High school diploma or equivalent,774-957-5047,J227
228,Jonathan,Bell,Marina Del Rey,62,Widowed,"Some college, no degree",952-398-6906,J228
229,Courtney,Russell,Columbia,47,Divorced,Bachelors degree,856-418-3438,J229
230,Katherine,Wood,Foosland,26,Widowed,Bachelors degree,516-308-6864,J230
231,William,Reed,Wilmington,72,Single,Master’s degree,858-632-2749,J231
232,Michelle,Barnes,Hudson,31,Single,"Some college, no degree",727-949-4685,J232
233,Laura,Lee,Morgan City,29,Married,High school diploma or equivalent,262-935-9658,J233
234,Emma,Kelly,Huntington,72,Married,Associate degree,402-275-9902,J234
235,Nathan,Diaz,Holden,38,Married,Bachelors degree,464-148-9696,J235
236,Timothy,White,Mobile,72,Divorced,High school diploma or equivalent,480-918-0478,J236
237,Kyle,Carter,Uriah,42,Divorced,Associate degree,603-303-0053,J237
238,Nathan,Ross,Calumet,47,Divorced,"Some college, no degree",626-185-0093,J238
239,Elizabeth,Collins,Romeoville,39,Divorced,Doctoral degree,323-410-6538,J239
240,Danielle,Long,Beckwourth,21,Divorced,Master’s degree,254-511-5400,J240
241,Steven,Flores,Glover,30,Married,High school diploma or equivalent,501-845-6038,J241
242,Sara,Cook,Friedheim,32,Divorced,"Some college, no degree",770-078-8786,J242
243,Michael,Brown,Covington,28,Single,Master’s degree,737-239-8627,J243
244,Alexis,Cooper,Maggie Valley,40,Married,High school diploma or equivalent,302-756-3361,J244
245,Steven,Bryant,Luthersburg,24,Married,"Some college, no degree",302-162-1110,J245
246,Ethan,Evans,Jones,60,Widowed,Less than high school,773-772-4714,J246
247,Joseph,Diaz,Lake Luzerne,68,Divorced,Less than high school,209-851-7788,J247
248,Joshua,Perry,Pompano Beach,41,Divorced,High school diploma or equivalent,406-093-9380,J248
249,Megan,Brown,New York,53,Divorced,Bachelors degree,270-438-9136,J249
250,Brittany,Bryant,Lucama,50,Married,Doctoral degree,718-481-1394,J250
251,Kyle,Bennett,Camp Dennison,47,Divorced,Doctoral degree,330-264-7767,J251
252,Steven,Roberts,Atlanta,46,Divorced,Bachelors degree,616-893-2377,J252
253,Sophia,Price,Nordheim,74,Married,Master’s degree,918-791-8592,J253
254,Dylan,Anderson,Midlothian,63,Divorced,"Some college, no degree",947-890-6700,J254
255,Katherine,Perry,Woodville,28,Single,Less than high school,318-541-1907,J255
256,John,Roberts,Indian Head,37,Married,Associate degree,313-787-2976,J256
257,Aaron,Carter,Bakerstown,67,Single,Less than high school,406-676-7136,J257
258,Megan,Harris,Weston,67,Widowed,Associate degree,747-157-4063,J258
259,Justin,Murphy,Moreno Valley,41,Single,Master’s degree,502-607-4539,J259
260,Alexander,Brooks,Indian Mound,74,Divorced,Less than high school,682-566-1412,J260
261,Lillian,Miller,Hagerstown,19,Single,"Some college, no degree",917-529-8457,J261
262,David,Miller,Frankfort,69,Divorced,High school diploma or equivalent,475-517-3499,J262
263,Katherine,Collins,Durham,32,Married,Bachelors degree,872-773-2273,J263
264,Timothy,Griffin,Kegley,24,Married,Bachelors degree,916-190-8189,J264
265,Isaac,Morgan,Myrtle Beach,60,Widowed,Doctoral degree,347-697-9610,J265
266,Kelsey,Long,Columbus,67,Single,Master’s degree,571-646-0448,J266
267,Hannah,Edwards,Lakeville,24,Married,"Some college, no degree",713-667-3033,J267
268,Kimberly,Bell,Lindrith,22,Married,Bachelors degree,763-143-8014,J268
269,Owen,Washington,Fostoria,52,Married,High school diploma or equivalent,806-519-0516,J269
270,Patrick,Turner,Cortland,56,Single,"Some college, no degree",404-869-4980,J270
271,Jeremy,Young,Mequon,24,Married,"Some college, no degree",612-660-1318,J271
272,Joshua,Russell,Houston,31,Divorced,Less than high school,334-743-0834,J272
273,Amber,Green,Lake City,51,Divorced,"Some college, no degree",314-293-9777,J273
274,Erin,Howard,Alton,27,Divorced,Less than high school,805-641-4986,J274
275,Laura,Collins,Sanders,56,Married,Less than high school,432-460-2231,J275
276,Katherine,Edwards,Dille,65,Married,High school diploma or equivalent,678-524-0642,J276
277,Jeremy,Foster,Tomato,29,Married,Doctoral degree,830-912-1293,J277
278,Sofia,Hughes,Pittsburgh,70,Married,Doctoral degree,667-377-3269,J278
279,Danielle,Walker,Sparkill,53,Widowed,Less than high school,978-318-0457,J279
280,Sarah,Cox,Middleburg,47,Married,Associate degree,325-157-9565,J280
281,Michael,Collins,Orange Beach,50,Single,"Some college, no degree",769-376-6850,J281
282,Jeremy,Green,Evansville,76,Separated,High school diploma or equivalent,225-464-8467,J282
283,Megan,Moore,Celeste,47,Separated,Doctoral degree,316-356-1813,J283
284,Sean,Morris,Clio,31,Married,Less than high school,248-109-7693,J284
285,Allison,Ward,Washington,75,Married,High school diploma or equivalent,520-551-5927,J285
286,Owen,Hall,Tabor,56,Divorced,High school diploma or equivalent,718-823-7732,J286
287,Kyle,Morris,Antimony,36,Single,Associate degree,641-969-5290,J287
288,Joseph,Harris,Gig Harbor,56,Separated,Bachelors degree,405-635-5423,J288
289,Alexandra,Turner,Carrollton,52,Married,Master’s degree,413-206-5158,J289
290,Emily,Scott,Salt Lake City,68,Single,Doctoral degree,318-470-7543,J290
291,Charles,Williams,Longmeadow,54,Divorced,Associate degree,603-400-8921,J291
292,Elizabeth,Brown,New Windsor,52,Single,Associate degree,925-981-0957,J292
293,Joshua,Diaz,Shreveport,39,Married,High school diploma or equivalent,283-987-6664,J293
294,Owen,Simmons,Burnettsville,42,Divorced,Less than high school,504-347-0644,J294
295,Aiden,Smith,Gary,28,Married,Less than high school,904-523-8991,J295
296,Tyler,Thompson,Ohley,20,Separated,High school diploma or equivalent,615-163-7169,J296
297,Jeremy,Johnson,D'Iberville,47,Married,Master’s degree,302-014-2302,J297
298,Jack,Hall,Lynn,62,Single,Master’s degree,763-528-2979,J298
299,Henry,Lewis,Jacksonville,50,Married,High school diploma or equivalent,220-616-2376,J299
300,Kaitlyn,Taylor,Redondo Beach,36,Divorced,Master’s degree,321-535-6333,J300
301,Justin,Mitchell,Fullerton,58,Divorced,Master’s degree,769-567-3502,J301
302,Richard,Flores,Nashville,31,Married,Bachelors degree,858-276-6894,J302
303,Grace,Cook,Goldendale,24,Married,Bachelors degree,858-824-7596,J303
304,Sebastian,Bryant,Old Town,53,Single,High school diploma or equivalent,564-576-4479,J304
305,Katherine,Young,Richmond,36,Married,Bachelors degree,409-828-6879,J305
306,Sofia,Bell,Huntington,54,Divorced,Bachelors degree,215-600-6218,J306
307,Austin,Phillips,Cary,71,Married,Doctoral degree,336-770-5622,J307
308,Natalie,Rodriguez,Dunning,59,Married,Less than high school,270-020-8584,J308
309,Aiden,Bell,San Miguel,66,Married,Master’s degree,316-214-0682,J309
310,Christina,Taylor,Stahlstown,40,Widowed,Doctoral degree,971-299-6391,J310
311,Kaitlyn,Hayes,Sedan,45,Divorced,Associate degree,765-710-6996,J311
312,Layla,Gray,Ewan,52,Married,Doctoral degree,210-069-0045,J312
313,Robert,Foster,Montoursville,38,Divorced,Bachelors degree,303-795-0584,J313
314,Nathan,Brown,Wilkes Barre,54,Divorced,Less than high school,620-936-5158,J314
315,David,Davis,New York,36,Single,Bachelors degree,231-764-7331,J315
316,David,White,Cassville,64,Married,High school diploma or equivalent,585-780-7864,J316
317,Gabriel,Wilson,New London,56,Divorced,Associate degree,470-158-3390,J317
318,Sebastian,Green,Lakeville,71,Married,"Some college, no degree",509-308-0191,J318
319,Jasmine,Jenkins,Corona,57,Married,Bachelors degree,216-968-6757,J319
320,Amelia,Wilson,Westford,26,Divorced,"Some college, no degree",385-656-9903,J320
321,Kevin,Henderson,Honolulu,57,Separated,"Some college, no degree",380-085-1376,J321
322,Lillian,Brooks,Toledo,31,Single,"Some college, no degree",725-984-5410,J322
323,Elizabeth,Ross,Weston,65,Married,Master’s degree,616-010-0377,J323
324,Michelle,Reed,Juniata,76,Divorced,High school diploma or equivalent,412-365-4168,J324
325,Victoria,Parker,Lutsen,47,Married,Doctoral degree,575-620-3396,J325
326,Elizabeth,Long,Harwinton,47,Divorced,Associate degree,574-456-3207,J326
327,Chelsea,Wright,Beaver Springs,68,Married,Less than high school,276-331-1589,J327
328,Christopher,Jackson,Cary,67,Divorced,Master’s degree,309-022-2172,J328
329,Rebecca,Edwards,Novinger,26,Separated,Bachelors degree,615-705-1519,J329
330,Nathan,Kelly,Still River,59,Divorced,Bachelors degree,563-756-7490,J330
331,Courtney,Henderson,Pukwana,57,Divorced,Doctoral degree,901-889-1628,J331
332,Heather,Long,Wills Point,36,Single,Less than high school,928-178-0441,J332
333,Jasmine,Hayes,San Francisco,51,Single,Bachelors degree,754-893-1389,J333
334,James,Hall,Peoria,41,Single,Less than high school,206-970-3038,J334
335,Samuel,Jackson,Koeltztown,61,Married,Bachelors degree,469-169-7000,J335
336,Adam,Carter,Talmoon,77,Married,Bachelors degree,845-010-6707,J336
337,Kyle,Cox,Anaheim,37,Married,"Some college, no degree",425-091-9856,J337
338,Rebecca,Rogers,Scranton,37,Single,Doctoral degree,957-892-4398,J338
339,John,Jones,Hickman,38,Divorced,Less than high school,224-338-2861,J339
340,Rachel,Cook,Quimby,68,Married,High school diploma or equivalent,425-612-1292,J340
341,Evelyn,Anderson,Mallory,20,Single,"Some college, no degree",217-844-2161,J341
342,Thomas,Rivera,Olaton,32,Married,Bachelors degree,267-512-0719,J342
343,Jasmine,Sanders,Columbus,59,Divorced,Doctoral degree,828-468-1889,J343
