phone_num,client_id,contact,day_of_week,month,duration,contact_type
862-764-7250,101,cellular,Wednesday,September,222,cellular
850-281-3292,102,cellular,Wednesday,February,276,cellular
916-922-0738,103,cellular,Thursday,July,390,telephone
325-043-1765,104,telephone,Saturday,January,12,cellular
510-828-8515,105,cellular,Monday,November,433,cellular
318-691-6313,106,cellular,Friday,January,175,telephone
831-729-2008,107,telephone,Saturday,March,539,cellular
228-800-8448,108,cellular,Saturday,July,147,cellular
608-295-4962,109,cellular,Thursday,May,999,telephone
657-169-9258,110,telephone,Tuesday,March,302,telephone
309-026-1585,111,telephone,Wednesday,October,407,telephone
864-703-5989,112,cellular,Tuesday,December,206,cellular
484-605-5968,113,telephone,Monday,February,301,cellular
307-875-5730,114,cellular,Thursday,November,405,cellular
857-599-4344,115,cellular,Monday,April,170,telephone
847-075-4763,116,telephone,Thursday,December,719,telephone
417-431-8905,117,cellular,Friday,March,414,telephone
346-999-6173,118,cellular,Wednesday,May,39,telephone
216-456-4763,119,cellular,Sunday,November,492,cellular
731-925-5456,120,cellular,Friday,January,857,cellular
606-727-1483,121,cellular,Thursday,April,899,telephone
207-493-0840,122,cellular,Thursday,April,465,telephone
570-398-1119,123,telephone,Monday,June,999,cellular
512-871-3689,124,cellular,Tuesday,August,999,telephone
901-943-3175,125,telephone,Monday,April,999,telephone
947-181-5665,126,cellular,Thursday,December,999,cellular
305-969-8803,127,cellular,Wednesday,February,999,telephone
315-236-4127,128,telephone,Sunday,August,999,telephone
503-330-0097,129,telephone,Saturday,June,999,telephone
320-837-5319,130,telephone,Wednesday,January,999,cellular
708-054-0480,131,telephone,Friday,June,999,cellular
681-256-5186,132,telephone,Sunday,September,999,telephone
563-943-8070,133,cellular,Thursday,May,999,telephone
909-959-6353,134,telephone,Tuesday,August,999,telephone
872-393-7400,135,telephone,Tuesday,April,999,telephone
262-917-4839,136,cellular,Wednesday,August,999,telephone
513-031-0769,137,cellular,Monday,March,999,telephone
805-164-0891,138,cellular,Monday,September,999,telephone
361-688-6442,139,telephone,Monday,January,999,cellular
912-797-2629,140,telephone,Friday,December,999,cellular
509-001-4083,141,telephone,Sunday,February,999,telephone
814-846-4387,142,telephone,Wednesday,June,999,cellular
406-196-8215,143,cellular,Sunday,June,999,cellular
313-536-4336,144,cellular,Wednesday,August,999,telephone
606-977-4316,145,telephone,Sunday,February,999,cellular
831-391-1669,146,cellular,Monday,May,247,telephone
978-526-6120,147,telephone,Sunday,May,143,telephone
620-772-2083,148,telephone,Wednesday,May,881,telephone
315-233-4137,149,cellular,Saturday,April,811,telephone
936-330-1617,150,telephone,Sunday,September,34,telephone
769-397-1988,151,cellular,Friday,October,519,cellular
320-085-2068,152,cellular,Monday,April,775,telephone
904-877-4735,153,telephone,Wednesday,September,844,telephone
720-579-5108,154,telephone,Sunday,March,700,telephone
314-530-3458,155,telephone,Friday,April,845,cellular
585-325-4367,156,cellular,Tuesday,August,685,telephone
539-677-2493,157,cellular,Saturday,June,282,cellular
253-323-1566,158,telephone,Saturday,May,508,cellular
430-592-6592,159,telephone,Sunday,November,986,telephone
989-059-3658,160,cellular,Saturday,July,964,telephone
815-215-9684,161,cellular,Monday,December,689,cellular
510-737-6641,162,cellular,Friday,November,402,telephone
641-191-7846,163,cellular,Wednesday,October,999,telephone
912-614-6624,164,telephone,Tuesday,November,147,telephone
203-182-1033,165,telephone,Saturday,November,190,cellular
651-513-6375,166,cellular,Saturday,October,448,telephone
801-707-6041,167,cellular,Thursday,March,194,cellular
269-370-9508,168,telephone,Friday,March,42,cellular
669-551-0516,169,telephone,Saturday,March,58,telephone
442-359-7079,170,telephone,Monday,February,490,telephone
430-059-8772,171,telephone,Sunday,April,342,telephone
210-915-6866,172,cellular,Friday,September,107,telephone
331-344-1684,173,cellular,Monday,May,998,telephone
220-784-9918,174,cellular,Wednesday,January,261,telephone
909-281-6348,175,cellular,Wednesday,May,872,cellular
303-212-8329,176,telephone,Sunday,August,269,telephone
380-108-6540,177,telephone,Saturday,December,386,cellular
207-005-0351,178,telephone,Wednesday,June,9997,telephone
863-051-6329,179,cellular,Monday,January,506,cellular
941-699-0587,180,cellular,Tuesday,January,36,cellular
720-625-5424,181,cellular,Tuesday,October,744,telephone
754-268-2992,182,cellular,Friday,March,251,telephone
808-767-5011,183,telephone,Sunday,April,696,telephone
540-699-5378,184,cellular,Wednesday,March,126,cellular
952-661-7145,185,telephone,Saturday,February,528,cellular
978-967-8389,186,cellular,Tuesday,June,417,telephone
443-520-5819,187,telephone,Sunday,June,279,telephone
818-038-6333,188,telephone,Tuesday,March,625,telephone
914-007-5343,189,cellular,Tuesday,September,643,telephone
915-388-4624,190,telephone,Sunday,November,567,telephone
743-015-8785,191,cellular,Tuesday,December,187,cellular
727-172-7922,192,telephone,Sunday,July,663,telephone
307-625-0476,193,cellular,Wednesday,March,347,cellular
412-125-0065,194,cellular,Saturday,June,347,cellular
225-137-3929,195,cellular,Tuesday,May,577,telephone
320-898-7905,196,cellular,Tuesday,December,164,telephone
267-255-9723,197,telephone,Saturday,November,65,telephone
612-981-7559,198,telephone,Tuesday,December,85,telephone
360-820-1773,199,telephone,Friday,May,565,cellular
601-448-1970,200,cellular,Thursday,October,987,cellular
912-453-6610,201,telephone,Tuesday,November,875,telephone
773-233-2554,202,cellular,Sunday,August,108,cellular
219-131-2409,203,cellular,Wednesday,March,528,cellular
609-994-2449,204,cellular,Monday,June,746,telephone
619-926-3250,205,cellular,Saturday,January,9992,cellular
660-931-5299,206,cellular,Thursday,October,629,telephone
765-962-1535,207,telephone,Saturday,May,622,telephone
917-055-4114,208,telephone,Saturday,May,87,cellular
813-004-9108,209,cellular,Saturday,July,279,cellular
404-824-5805,210,cellular,Monday,October,962,cellular
715-068-5804,211,cellular,Friday,April,309,telephone
717-138-1057,212,telephone,Saturday,December,430,cellular
332-501-4259,213,cellular,Saturday,March,848,cellular
707-983-4281,214,telephone,Monday,September,941,telephone
530-910-4677,215,telephone,Monday,September,390,telephone
325-138-6243,216,cellular,Saturday,July,192,cellular
352-323-6641,217,cellular,Monday,May,234,telephone
330-096-0405,218,telephone,Saturday,June,218,telephone
679-404-3031,219,telephone,Sunday,December,128,cellular
484-396-2436,220,cellular,Saturday,March,166,cellular
206-980-2699,221,cellular,Thursday,February,609,telephone
909-150-8868,222,telephone,Monday,March,251,cellular
901-927-6356,223,telephone,Wednesday,March,614,telephone
857-115-7562,224,telephone,Friday,June,937,telephone
618-111-3756,225,cellular,Tuesday,May,9997,cellular
978-102-1577,226,telephone,Tuesday,February,372,cellular
774-957-5047,227,telephone,Sunday,April,222,cellular
952-398-6906,228,cellular,Sunday,September,76,cellular
856-418-3438,229,cellular,Tuesday,January,18,telephone
516-308-6864,230,telephone,Friday,June,506,telephone
858-632-2749,231,telephone,Friday,December,577,cellular
727-949-4685,232,telephone,Friday,November,816,cellular
262-935-9658,233,cellular,Monday,October,844,telephone
402-275-9902,234,telephone,Sunday,December,612,telephone
464-148-9696,235,cellular,Monday,July,503,telephone
480-918-0478,236,cellular,Sunday,August,48,telephone
603-303-0053,237,cellular,Monday,October,1,cellular
626-185-0093,238,telephone,Tuesday,August,410,telephone
323-410-6538,239,cellular,Tuesday,April,983,telephone
254-511-5400,240,cellular,Wednesday,April,765,cellular
501-845-6038,241,telephone,Thursday,March,443,telephone
770-078-8786,242,telephone,Tuesday,March,286,telephone
737-239-8627,243,cellular,Thursday,September,901,telephone
302-756-3361,244,telephone,Thursday,October,642,cellular
302-162-1110,245,telephone,Tuesday,February,810,telephone
773-772-4714,246,cellular,Monday,June,149,telephone
209-851-7788,247,telephone,Sunday,December,303,cellular
406-093-9380,248,telephone,Sunday,December,971,cellular
270-438-9136,249,cellular,Tuesday,December,684,cellular
718-481-1394,250,telephone,Tuesday,February,829,telephone
330-264-7767,251,cellular,Wednesday,June,575,cellular
616-893-2377,252,telephone,Friday,February,567,telephone
918-791-8592,253,cellular,Tuesday,September,476,cellular
947-890-6700,254,telephone,Wednesday,November,9990,cellular
318-541-1907,255,telephone,Monday,February,9999,cellular
313-787-2976,256,cellular,Sunday,July,811,telephone
406-676-7136,257,cellular,Friday,February,812,cellular
747-157-4063,258,telephone,Wednesday,December,196,telephone
502-607-4539,259,telephone,Sunday,April,751,cellular
682-566-1412,260,cellular,Sunday,July,271,cellular
917-529-8457,261,telephone,Sunday,March,933,cellular
475-517-3499,262,telephone,Monday,February,926,cellular
872-773-2273,263,cellular,Thursday,July,261,telephone
916-190-8189,264,cellular,Sunday,July,475,telephone
347-697-9610,265,telephone,Friday,September,177,telephone
571-646-0448,266,cellular,Thursday,December,568,telephone
713-667-3033,267,telephone,Friday,February,452,cellular
763-143-8014,268,cellular,Tuesday,September,124,cellular
806-519-0516,269,telephone,Saturday,July,343,cellular
404-869-4980,270,telephone,Thursday,January,892,telephone
612-660-1318,271,telephone,Thursday,October,182,telephone
334-743-0834,272,cellular,Saturday,September,171,telephone
314-293-9777,273,cellular,Saturday,October,219,cellular
805-641-4986,274,telephone,Saturday,July,876,telephone
432-460-2231,275,telephone,Tuesday,December,626,cellular
678-524-0642,276,cellular,Wednesday,July,308,telephone
830-912-1293,277,cellular,Thursday,July,35,telephone
667-377-3269,278,cellular,Sunday,April,884,telephone
978-318-0457,279,telephone,Tuesday,November,70,cellular
325-157-9565,280,cellular,Wednesday,August,195,cellular
769-376-6850,281,telephone,Sunday,September,981,cellular
225-464-8467,282,cellular,Monday,April,557,cellular
316-356-1813,283,telephone,Friday,October,550,cellular
248-109-7693,284,telephone,Saturday,April,936,telephone
520-551-5927,285,telephone,Saturday,September,943,telephone
718-823-7732,286,telephone,Friday,September,212,cellular
641-969-5290,287,cellular,Friday,August,73,cellular
405-635-5423,288,cellular,Monday,December,653,telephone
413-206-5158,289,telephone,Monday,December,757,telephone
318-470-7543,290,cellular,Monday,January,688,telephone
603-400-8921,291,cellular,Tuesday,August,822,cellular
925-981-0957,292,telephone,Wednesday,July,104,telephone
283-987-6664,293,cellular,Monday,January,702,telephone
504-347-0644,294,cellular,Thursday,June,768,cellular
904-523-8991,295,cellular,Sunday,June,118,telephone
615-163-7169,296,telephone,Thursday,August,23,telephone
302-014-2302,297,telephone,Saturday,July,29,cellular
763-528-2979,298,cellular,Monday,July,266,telephone
220-616-2376,299,telephone,Monday,March,999,telephone
321-535-6333,300,cellular,Thursday,August,482,cellular
769-567-3502,301,cellular,Saturday,July,63,cellular
858-276-6894,302,cellular,Saturday,June,533,cellular
858-824-7596,303,cellular,Saturday,December,381,cellular
564-576-4479,304,cellular,Wednesday,December,160,telephone
409-828-6879,305,telephone,Thursday,September,497,cellular
215-600-6218,306,cellular,Saturday,July,84,cellular
336-770-5622,307,cellular,Friday,April,600,cellular
270-020-8584,308,telephone,Tuesday,July,13,cellular
316-214-0682,309,telephone,Monday,April,743,cellular
971-299-6391,310,telephone,Thursday,March,335,cellular
765-710-6996,311,cellular,Saturday,May,110,cellular
210-069-0045,312,telephone,Sunday,October,64,telephone
303-795-0584,313,cellular,Thursday,February,999,cellular
620-936-5158,314,cellular,Tuesday,October,999,cellular
231-764-7331,315,cellular,Monday,July,999,telephone
585-780-7864,316,telephone,Saturday,March,999,cellular
470-158-3390,317,cellular,Thursday,December,999,cellular
509-308-0191,318,telephone,Saturday,April,999,telephone
216-968-6757,319,cellular,Monday,December,999,telephone
385-656-9903,320,telephone,Monday,August,999,cellular
380-085-1376,321,telephone,Saturday,October,999,telephone
725-984-5410,322,cellular,Wednesday,December,999,cellular
616-010-0377,323,cellular,Saturday,October,999,telephone
412-365-4168,324,cellular,Saturday,September,999,cellular
575-620-3396,325,cellular,Friday,June,999,cellular
574-456-3207,326,cellular,Tuesday,April,999,cellular
276-331-1589,327,telephone,Monday,August,999,telephone
309-022-2172,328,cellular,Monday,July,999,telephone
615-705-1519,329,cellular,Friday,November,999,cellular
563-756-7490,330,cellular,Sunday,February,999,cellular
901-889-1628,331,cellular,Tuesday,June,999,telephone
928-178-0441,332,cellular,Saturday,August,999,cellular
754-893-1389,333,telephone,Thursday,August,999,cellular
206-970-3038,334,cellular,Tuesday,December,114,cellular
469-169-7000,335,telephone,Wednesday,September,550,telephone
845-010-6707,336,cellular,Wednesday,June,670,cellular
425-091-9856,337,cellular,Sunday,November,895,cellular
957-892-4398,338,cellular,Saturday,December,950,cellular
224-338-2861,339,cellular,Friday,January,24,telephone
425-612-1292,340,cellular,Wednesday,November,863,telephone
217-844-2161,341,telephone,Sunday,September,738,cellular
267-512-0719,342,cellular,Friday,July,809,telephone
828-468-1889,343,cellular,Monday,December,833,telephone
956-292-2737,344,telephone,Wednesday,April,906,telephone
704-129-3526,345,telephone,Wednesday,January,839,cellular
713-086-7836,346,telephone,Friday,January,332,telephone
423-225-6771,347,cellular,Sunday,July,2,telephone
919-170-8096,348,telephone,Wednesday,February,932,telephone
808-847-3693,349,telephone,Saturday,August,726,telephone
509-394-7485,350,cellular,Saturday,August,556,telephone
330-349-9319,351,telephone,Sunday,March,942,telephone
931-758-8387,352,telephone,Wednesday,April,564,telephone
959-735-3175,353,telephone,Monday,February,860,telephone
908-529-2621,354,cellular,Friday,May,853,telephone
813-156-8671,355,cellular,Monday,March,616,cellular
302-502-7276,356,cellular,Thursday,October,921,cellular
661-667-4501,357,cellular,Wednesday,November,112,telephone
248-699-3715,358,telephone,Sunday,January,620,cellular
848-398-9264,359,telephone,Sunday,March,707,cellular
980-868-2247,360,cellular,Sunday,October,81,cellular
469-359-8315,361,telephone,Wednesday,December,941,telephone
334-116-0332,362,telephone,Tuesday,October,405,telephone
971-061-8437,363,cellular,Sunday,December,929,cellular
610-891-8134,364,cellular,Monday,July,852,cellular
989-379-3618,365,cellular,Tuesday,March,305,telephone
717-544-4369,366,telephone,Sunday,October,753,cellular
248-707-8399,367,telephone,Wednesday,March,849,telephone
662-347-7450,368,telephone,Friday,May,974,cellular
563-328-6948,369,telephone,Monday,September,996,cellular
339-817-3726,370,telephone,Wednesday,May,674,telephone
302-694-0609,371,cellular,Tuesday,October,437,cellular
442-071-6672,372,telephone,Thursday,March,293,telephone
423-339-8475,373,telephone,Saturday,March,999,cellular
660-726-7298,374,cellular,Wednesday,April,890,telephone
725-302-0691,375,cellular,Saturday,April,901,cellular
301-321-0085,376,telephone,Thursday,January,632,telephone
432-571-7754,377,telephone,Sunday,June,719,cellular
903-598-2270,378,telephone,Sunday,January,87,telephone
815-757-2262,379,telephone,Wednesday,June,999,cellular
775-976-1772,380,cellular,Wednesday,January,960,cellular
346-376-3058,381,cellular,Monday,November,865,telephone
509-946-7450,382,cellular,Tuesday,March,288,cellular
754-368-3589,383,cellular,Thursday,January,896,telephone
936-261-4327,384,cellular,Saturday,March,808,telephone
347-956-2896,385,cellular,Wednesday,December,83,telephone
305-576-8561,386,cellular,Monday,June,311,cellular
770-931-4424,387,cellular,Thursday,January,748,cellular
347-004-6138,388,cellular,Friday,August,894,cellular
443-687-5138,389,cellular,Friday,November,386,telephone
608-196-2886,390,cellular,Saturday,September,256,telephone
626-873-4162,391,telephone,Thursday,May,911,telephone
318-439-4553,392,cellular,Friday,January,990,cellular
443-819-8058,393,telephone,Monday,February,671,telephone
318-043-5138,394,telephone,Sunday,July,52,telephone
562-520-9756,395,telephone,Friday,July,918,cellular
404-589-2807,396,telephone,Saturday,March,999,telephone
405-646-6275,397,cellular,Wednesday,June,129,telephone
628-881-3175,398,cellular,Monday,July,940,cellular
321-273-8901,399,cellular,Tuesday,February,215,telephone
435-324-1014,400,cellular,Monday,July,9997,cellular
570-575-8745,401,telephone,Tuesday,April,353,telephone
912-767-7007,402,cellular,Saturday,February,436,cellular
360-658-0544,403,cellular,Thursday,September,615,telephone
906-314-4939,404,telephone,Wednesday,April,741,telephone
801-428-7713,405,telephone,Wednesday,April,340,cellular
309-733-1711,406,telephone,Thursday,September,857,telephone
540-763-9870,407,telephone,Saturday,May,9992,cellular
601-378-3492,408,telephone,Thursday,November,183,telephone
470-394-6958,409,telephone,Tuesday,August,867,telephone
629-239-2457,410,telephone,Saturday,October,418,telephone
213-532-7552,411,telephone,Saturday,July,893,cellular
957-985-1375,412,telephone,Sunday,April,875,cellular
715-803-3871,413,telephone,Sunday,June,10,cellular
414-426-4982,414,telephone,Sunday,August,588,telephone
401-412-8482,415,cellular,Saturday,October,182,cellular
484-819-3326,416,telephone,Wednesday,July,941,cellular
863-355-7933,417,telephone,Monday,April,114,telephone
832-611-6245,418,telephone,Saturday,August,66,telephone
567-836-7205,419,telephone,Monday,September,321,telephone
954-705-8681,420,cellular,Saturday,June,184,cellular
540-971-4693,421,telephone,Monday,March,140,telephone
713-379-5680,422,telephone,Friday,January,245,cellular
947-308-7594,423,cellular,Wednesday,June,792,cellular
331-613-7703,424,cellular,Tuesday,May,8,telephone
724-130-1112,425,cellular,Sunday,July,345,telephone
937-982-7220,426,cellular,Sunday,December,966,cellular
203-954-4652,427,telephone,Thursday,August,835,telephone
901-031-4742,428,cellular,Saturday,January,406,telephone
386-965-9397,429,telephone,Sunday,April,731,cellular
347-408-6587,430,cellular,Tuesday,August,9994,cellular
682-944-2412,431,telephone,Friday,August,408,cellular
484-937-1358,432,cellular,Tuesday,April,291,cellular
316-405-4459,433,telephone,Sunday,November,391,telephone
763-112-7002,434,cellular,Friday,June,90,telephone
520-175-2211,435,cellular,Sunday,April,3999,cellular
361-137-8507,436,cellular,Thursday,October,190,cellular
223-381-9804,437,telephone,Wednesday,July,214,telephone
662-808-3552,438,cellular,Wednesday,February,300,telephone
346-508-5766,439,telephone,Wednesday,January,262,telephone
657-461-2030,440,telephone,Tuesday,June,70,telephone
571-384-4789,441,telephone,Wednesday,March,917,cellular
781-500-4220,442,cellular,Thursday,October,430,cellular
336-959-9497,443,telephone,Wednesday,February,958,telephone
352-538-8237,444,telephone,Thursday,July,210,cellular
276-161-5956,445,telephone,Saturday,September,523,telephone
619-389-8035,446,telephone,Wednesday,August,607,cellular
234-826-4745,447,cellular,Sunday,January,843,telephone
862-098-8067,448,telephone,Sunday,April,604,cellular
720-115-5128,449,cellular,Tuesday,September,908,cellular
702-569-7997,450,cellular,Friday,October,943,cellular
702-719-2400,451,telephone,Saturday,January,420,cellular
617-667-1947,452,cellular,Saturday,April,365,telephone
563-033-4005,453,telephone,Friday,November,780,telephone
574-445-8219,454,cellular,Thursday,December,2,cellular
828-547-5654,455,cellular,Monday,August,450,telephone
586-238-9101,456,cellular,Tuesday,October,862,telephone
412-680-4164,457,cellular,Saturday,March,163,cellular
269-965-8357,458,telephone,Tuesday,March,898,telephone
858-961-7166,459,cellular,Tuesday,June,177,telephone
220-532-2837,460,telephone,Sunday,November,604,cellular
774-236-4835,461,telephone,Saturday,July,644,cellular
935-914-7764,462,telephone,Monday,November,894,telephone
563-523-4225,463,cellular,Thursday,February,184,cellular
318-200-8578,464,cellular,Saturday,April,316,cellular
626-084-0783,465,cellular,Friday,September,483,telephone
701-697-7503,466,cellular,Friday,October,339,telephone
505-356-0556,467,telephone,Wednesday,May,713,telephone
385-379-6506,468,cellular,Wednesday,April,178,telephone
713-300-8825,469,cellular,Thursday,June,93,telephone
609-078-3368,470,cellular,Sunday,December,861,cellular
775-792-3459,471,telephone,Thursday,September,915,cellular
913-000-5936,472,telephone,Friday,February,750,telephone
210-720-1786,473,telephone,Wednesday,September,27,cellular
262-568-5764,474,cellular,Monday,May,163,telephone
708-297-1521,475,cellular,Friday,January,935,telephone
805-744-5362,476,telephone,Saturday,March,67,telephone
716-197-7834,477,telephone,Wednesday,September,944,telephone
920-199-7658,478,cellular,Tuesday,August,553,telephone
989-624-9750,479,cellular,Sunday,September,894,cellular
303-129-6212,480,cellular,Monday,September,632,cellular
847-387-9222,481,telephone,Tuesday,September,153,telephone
412-671-8150,482,cellular,Sunday,January,70,cellular
323-165-5946,483,cellular,Monday,April,999,cellular
940-821-5096,484,cellular,Thursday,November,390,cellular
859-201-8936,485,telephone,Thursday,June,434,cellular
562-917-8550,486,cellular,Saturday,January,524,telephone
316-801-4946,487,telephone,Sunday,April,999,telephone
970-044-3284,488,cellular,Thursday,June,999,telephone
940-641-0536,489,cellular,Monday,June,999,cellular
903-858-1918,490,cellular,Saturday,January,999,telephone
330-338-3562,491,cellular,Thursday,February,999,cellular
775-641-3157,492,cellular,Friday,September,999,cellular
612-942-1767,493,cellular,Monday,September,999,telephone
980-280-7377,494,telephone,Sunday,February,999,cellular
586-683-3043,495,telephone,Friday,October,999,telephone
541-827-7690,496,cellular,Sunday,May,999,telephone
857-322-9056,497,cellular,Saturday,August,999,cellular
912-347-7792,498,telephone,Sunday,February,999,cellular
743-608-2901,499,telephone,Sunday,November,999,cellular
386-328-6052,500,cellular,Sunday,April,999,cellular
845-445-3120,501,cellular,Monday,July,999,telephone
972-835-5751,502,telephone,Tuesday,July,999,cellular
470-661-3499,503,cellular,Saturday,December,999,telephone
219-981-7655,504,cellular,Monday,February,999,telephone
557-179-0862,505,telephone,Thursday,June,999,telephone
310-351-1340,506,cellular,Wednesday,February,999,cellular
361-869-0454,507,telephone,Monday,October,999,cellular
669-289-4406,508,telephone,Saturday,May,747,telephone
205-317-9728,509,cellular,Sunday,January,999,telephone
975-424-1835,510,cellular,Thursday,April,464,telephone
985-892-6589,511,telephone,Tuesday,October,206,telephone
484-553-5576,512,cellular,Saturday,August,936,cellular
720-453-8468,513,telephone,Thursday,May,804,telephone
302-247-3931,514,telephone,Monday,April,682,cellular
442-438-6700,515,cellular,Thursday,April,9997,cellular
772-979-4576,516,cellular,Tuesday,December,778,cellular
814-898-3376,517,cellular,Monday,September,186,telephone
662-374-8731,518,cellular,Friday,September,180,cellular
606-059-3233,519,cellular,Friday,August,624,cellular
856-864-5041,520,telephone,Friday,April,670,cellular
331-956-9075,521,telephone,Monday,May,212,telephone
814-208-0442,522,telephone,Saturday,January,705,cellular
910-554-2987,523,cellular,Thursday,June,752,cellular
928-796-8600,524,telephone,Tuesday,October,293,cellular
954-201-6986,525,telephone,Monday,June,748,cellular
573-888-2998,526,cellular,Friday,August,43,telephone
985-867-5871,527,cellular,Tuesday,December,909,cellular
574-016-8823,528,cellular,Saturday,December,963,telephone
253-408-4395,529,telephone,Friday,October,358,telephone
217-878-1124,530,telephone,Thursday,December,586,cellular
270-965-8429,531,telephone,Thursday,February,155,telephone
620-925-3092,532,cellular,Monday,June,405,cellular
502-520-6354,533,telephone,Monday,May,787,cellular
679-174-0302,534,cellular,Monday,March,556,telephone
217-929-1347,535,telephone,Wednesday,February,823,cellular
973-603-4109,536,telephone,Monday,September,880,cellular
